Comment,Designator,Footprint,LCSC,Quantity
SM05B-SRSS-TB (LF)(SN),CN1,CONN-SMD_SM05B-SRSS-TB-LF-SN,C136657,1
100nF,"C11,C12,C13,C14,C2,C3",C_0402_1005Metric,C1525,6
220pF,"C7,C8",RESC1005X40N,C1530,2
ULN2003F12FN-7,U5,U-DFN3030-10_DIO,C155522,1
SM02B-SRSS-TB (LF)(SN),"CN4,CN5",CONN-SMD_2P-P1.00_SM02B-SRSS-TB-LF-SN,C160402,2
SM04B-SRSS-TB (LF)(SN),"CN2,CN3",CONN-SMD_4P-P1.00_SM04B-SRSS-TB-LF-SN,C160404,2
10k,R2,R_0402_1005Metric,C190095,1
0805G (Green),LED1,LED_KP-1608SURCK,C2286,1
100Ω,R1,RESC1005X40N,C25076,1
5.1kOhm,"R3,R4",R_0402_1005Metric,C25905,2
TYPE-C 16PIN 2MD(073),USB1,USB-C-SMD_TYPE-C-6PIN-2MD-073,C2765186,1
10uF,C6,RESC1005X40N,C307415,1
22uF,"C1,C4,C5",RESC1005X40N,C3845593,3
DZ127S-22-06-55,U6,HDR-SMD_6P-P1.27-V-M-R2-C3-S1.27-LS5.5-1,C5160759,1
1uF,C10,C_0402_1005Metric,C52923,1
AMS1117-3.3_C347222,U2,SOT229P700X180-4N,C6186,1
0.1uF,C9,C_0402_1005Metric,C6955083,1
ESP32-WROOM-32E(8MB),U1,ESP32-WROOM-32E,C701341,1
FerriteBead,"FB1,FB2",0402ferritebead,C76883,2
MAX98357AETE_T,U3,QFN50P300X300X80-17N,C910544,1
TestPoint,I19,TestPoint_Pad_D1.0mm,,1
TestPoint,I14,TestPoint_Pad_D1.0mm,,1
TestPoint,I15,TestPoint_Pad_D1.0mm,,1
TestPoint,I16,TestPoint_Pad_D1.0mm,,1
TestPoint,I22,TestPoint_Pad_D1.0mm,,1
TestPoint,I18,TestPoint_Pad_D1.0mm,,1
TestPoint,N1,TestPoint_Pad_D1.0mm,,1
TestPoint,V3,TestPoint_Pad_D1.0mm,,1
TestPoint,I17,TestPoint_Pad_D1.0mm,,1
