Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22uF,RESC1005X40N,159.483,-29.625,90.0,top
C2,100nF,CAPC1005X55N,159.483,-25.75,-90.0,top
C3,100nF,CAPC1005X55N,184.708,-26.755,0.0,top
C4,22uF,RESC1005X40N,159.483,-31.69,-90.0,top
C5,22uF,RESC1005X40N,154.686,-33.54,0.0,top
C6,10uF,RESC1005X40N,157.358,-34.515,0.0,top
C7,220pF,RESC1005X40N,152.146,-37.084,90.0,top
C8,220pF,RESC1005X40N,150.971,-37.074,90.0,top
C9,0.1uF,C_0402_1005Metric,182.233,-26.755,0.0,top
CN1,SM05B-SRSS-TB (LF)(SN),CONN-SMD_SM05B-SRSS-TB-LF-SN,197.9285,-40.132,90.0,top
CN2,SM04B-SRSS-TB (LF)(SN),CONN-SMD_4P-P1.00_SM04B-SRSS-TB-LF-SN,197.9035,-27.332,90.0,top
CN3,SM04B-SRSS-TB (LF)(SN),CONN-SMD_4P-P1.00_SM04B-SRSS-TB-LF-SN,144.018,-26.8615,180.0,top
CN4,SM02B-SRSS-TB (LF)(SN),CONN-SMD_2P-P1.00_SM02B-SRSS-TB-LF-SN,197.9035,-33.482,90.0,top
CN5,SM02B-SRSS-TB (LF)(SN),CONN-SMD_2P-P1.00_SM02B-SRSS-TB-LF-SN,151.638,-41.2105,0.0,top
FB1,FerriteBead,0402ferritebead,152.146,-34.036,180.0,top
FB2,FerriteBead,0402ferritebead,152.146,-35.306,180.0,top
LED1,0805G (Green),LED_KP-1608SURCK,135.63,-32.512,180.0,top
R1,100Ω,RESC1005X40N,138.43,-32.512,0.0,top
R2,10k,R_0402_1005Metric,159.508,-27.6,-90.0,top
R3,56kOhm,R_0402_1005Metric,143.002,-36.322,90.0,top
U1,ESP32-WROOM-32E(8MB),ESP32-WROOM-32E,170.058,-34.45,0.0,top
U2,AMS1117-3.3_C347222,SOT229P700X180-4N,155.358,-28.64,90.0,top
U3,MAX98357AETE_T,QFN50P300X300X80-17N,157.893,-37.265,180.0,top
U5,ULN2003F12FN-7,U-DFN3030-10_DIO,185.166,-36.83,0.0,top
U6,DZ127S-22-06-55,HDR-SMD_6P-P1.27-V-M-R2-C3-S1.27-LS5.5-1,183.383,-29.505,-90.0,top
USB1,TYPE-C 16PIN 2MD(073),USB-C-SMD_TYPE-C-6PIN-2MD-073,138.5755,-39.116,-90.0,top
